ExternalId,ImageUrl,BrandExternalId,CategoryExternalId,ManufacturerPartNumber,UPC,Name,ProductPageUrl,CategoryPageUrl
21000034376,00021000034376_A1L1,VELVEETA,VELVEETA,21000034376,210000343770,VELVEETA 2 LB PROCESSED CHEESE-LOAF 2%  PRE PRICE $5.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000034383,00021000034383_A1L1,VELVEETA,VELVEETA,21000034383,210000343870,VELVEETA 2 LB PROCESSED CHEESE-LOAF  QUESO BLANCO PRE PRICE $5.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000038954,00021000038954_A1L1,VELVEETA,VELVEETA,21000038954,210000389570,VELVEETA 32 OZ PROCESSED CHEESE-LOAF  SHARP CHEDDAR PRE PRICE $5.99   1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000038961,00021000038961_A1L1,VELVEETA,VELVEETA,21000038961,210000389670,VELVEETA 32 OZ PROCESSED CHEESE-LOAF  SHARP CHEDDAR     1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000050970,,VELVEETA,VELVEETA,21000050970,210000509770,VELVEETA 2 LB PROCESSED CHEESE-LOAF  ORGINIAL PRE PRICE $6.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051038,00021000051038_A1L1,VELVEETA,VELVEETA,21000051038,210000510370,VELVEETA 2 LB PROCESSED CHEESE-LOAF 2%  PRE PRICE $6.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051045,00021000051045_A1L1,VELVEETA,VELVEETA,21000051045,210000510470,VELVEETA 2 LB PROCESSED CHEESE-LOAF  QUESO BLANCO PRE PRICE $6.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051052,00021000051052_A1L1,VELVEETA,VELVEETA,21000051052,210000510570,VELVEETA 2 LB PROCESSED CHEESE-LOAF  SHARP CHEDDAR PRE PRICE $6.99   1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611614,00021000611614_A1L1,VELVEETA,VELVEETA,21000611614,210006116170,VELVEETA 2 LB PROCESSED CHEESE-LOAF  ORIGINAL     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611669,00021000611669_A1L1,VELVEETA,VELVEETA,21000611669,210006116670,VELVEETA 2 LB PROCESSED CHEESE-LOAF LIGHT ORIGINAL     1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000620241,00021000620241_A1L1,VELVEETA,VELVEETA,21000620241,210006202470,VELVEETA 2 LB PROCESSED CHEESE-LOAF  MEXICAN MILD     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100005806,,VELVEETA,VELVEETA,68100005806,681000058070,VELVEETA 250 GR PROCESSED CHEESE-LOAF       1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100018561,,VELVEETA,VELVEETA,68100018561,681000185670,VELVEETA 450 GR PROCESSED CHEESE-LOAF EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100018578,,VELVEETA,VELVEETA,68100018578,681000185770,VELVEETA 900 GR PROCESSED CHEESE-LOAF EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000603534,00021000603534_A1L1,VELVEETA,VELVEETA,21000603534,210006035370,VELVEETA 5 LB PROCESSED CHEESE-LOAF  ORIGINAL     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000042364,,VELVEETA,VELVEETA,21000042364,210000423670,VELVEETA 36 OZ PROCESSED CHEESE-LOAF  REGULAR     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000044429,00021000044429_A1L1,VELVEETA,VELVEETA,21000044429,210000444270,VELVEETA 12 OZ PROCESSED CHEESE-SAUCE POUCH  ORIGINAL     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000044436,,VELVEETA,VELVEETA,21000044436,210000444370,VELVEETA 12 OZ PROCESSED CHEESE-SAUCE POUCH  QUESO BLANCO     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000052486,,VELVEETA,VELVEETA,21000052486,210000524870,VELVEETA 12 OZ CHEESE SAUCE  JALAPENO     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611461,00021000611461_A1L1,VELVEETA,VELVEETA,21000611461,210006114670,VELVEETA 1 LB PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  ORIGINAL     1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611447,00021000611447_A1L1,VELVEETA,VELVEETA,21000611447,210006114470,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP ORIGINAL OVER WRAPPED EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039814,00021000039814_A1L1,VELVEETA,VELVEETA,21000039814,210000398170,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  QUESO BLANCO       EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000044894,00021000044894_A1L1,VELVEETA,VELVEETA,21000044894,210000448970,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  SHARP CHEDDAR     1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000044900,00021000044900_A1L1,VELVEETA,VELVEETA,21000044900,210000449070,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  JALAPENO     1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000050024,00021000050024_A1L1,VELVEETA,VELVEETA,21000050024,210000500270,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  THREE CHEESE     12 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000050048,00021000050048_A1L1,VELVEETA,VELVEETA,21000050048,210000500470,VELVEETA 12 OZ PROCESSED CHEESE-SLICES INDIVIDUAL WRAP  SWISS      WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100001419,,VELVEETA,VELVEETA,68100001419,681000014170,VELVEETA 225 GR PROCESSED CHEESE-SLICES       1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100001471,,VELVEETA,VELVEETA,68100001471,681000014770,VELVEETA 450 GR PROCESSED CHEESE-SLICES  THICK     1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
68100001570,,VELVEETA,VELVEETA,68100001570,681000015770,VELVEETA 450 GR PROCESSED CHEESE-SLICES       1 WRAPPER EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611256,00021000611256_A1L1,VELVEETA,VELVEETA,21000611256,210006112570,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  ORIGINAL     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039364,,VELVEETA,VELVEETA,21000039364,210000393670,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  PEPPER JACK     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039357,00021000039357_A1L1,VELVEETA,VELVEETA,21000039357,210000393570,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  QUESO BLANCO     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045006,00021000045006_A1L1,VELVEETA,VELVEETA,21000045006,210000450070,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  CHEDDAR     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045013,00021000045013_A1L1,VELVEETA,VELVEETA,21000045013,210000450170,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  MOZZARELLA     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045006,00021000045006_A1L1,VELVEETA,VELVEETA,21000045006,210000450070,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  CHEDDAR     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045013,00021000045013_A1L1,VELVEETA,VELVEETA,21000045013,210000450170,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  MOZZARELLA     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039357,00021000039357_A1L1,VELVEETA,VELVEETA,21000039357,210000393570,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  QUESO BLANCO     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000611256,00021000611256_A1L1,VELVEETA,VELVEETA,21000611256,210006112570,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  ORIGINAL     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051816,,VELVEETA,VELVEETA,21000051816,210000518170,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  MEXICAN     1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051816,,VELVEETA,VELVEETA,21000051816,210000518170,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  MEXICAN     1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045006,00021000045006_A1L1,VELVEETA,VELVEETA,21000045006,210000450070,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  CHEDDAR     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051816,,VELVEETA,VELVEETA,21000051816,210000518170,VELVEETA 8 OZ PROCESSED CHEESE-SHREDDED  MEXICAN     1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000046737,00021000046737_A1L1,VELVEETA,VELVEETA,21000046737,210000467370,VELVEETA 32 OZ PROCESSED CHEESE-SHREDDED  ORIGINAL     1 POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051397,,VELVEETA,VELVEETA,21000051397,210000513970,VELVEETA 32 OZ PROCESSED CHEESE-SHREDDED  CHEDDAR     6 BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000051823,,VELVEETA,VELVEETA,21000051823,210000518270,VELVEETA 32 OZ PROCESSED CHEESE-SHREDDED  MEXICAN     1  EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000778584,00021000778584_A1L1,VELVEETA,VELVEETA,21000778584,210007785870,VELVEETA 10.23 OZ DINNERS-SIDES POTATOES CHEESY AU GRATIN BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000778591,00021000778591_A1L1,VELVEETA,VELVEETA,21000778591,210007785970,VELVEETA 10.52 OZ DINNERS-SIDES POTATOES CHEESY BACON SCALLOPED BAG/POUCH EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000778690,00021000778690_A1L1,VELVEETA,VELVEETA,21000778690,210007786970,VELVEETA 11.75 OZ DINNERS-SIDES  POTATOES CHEESY MASHED     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000042371,00021000042371_A1L1,VELVEETA,VELVEETA,21000042371,210000423770,VELVEETA 9.64 OZ DINNERS-SIDES  SOUTHWEST     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000039845,00021000039845_A1L1,VELVEETA,VELVEETA,21000039845,210000398470,VELVEETA 12 OZ DINNERS-LIQUID  QUESO BLANCO     1 BOX/CARTON EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
21000045129,,VELVEETA,VELVEETA,21000045129,210000451270,VELVEETA 36 OZ DINNERS-LIQUID  ORIGINAL     1 SHRINK WRAPPED EACH,http://www.kraftrecipes.com,http://www.kraftrecipes.com/Products/productmain.aspx
